EQ,separated_EQ,group,separated_group
0,0,0,0
0,1,0,1
0,2,0,2
1,3,1,3
1,4,1,1
1,5,1,2
2,6,0,0
2,7,0,1
2,8,0,2
3,9,2,4
3,10,2,5
3,11,2,2
4,12,3,6
4,13,3,5
5,14,4,7
5,15,4,5
5,16,4,2
6,17,2,4
6,18,2,5
6,19,2,2
7,20,5,8
7,21,5,5
7,22,5,1
8,23,6,9
8,24,6,5
8,25,6,1
9,26,1,3
9,27,1,1
9,28,1,2
10,29,1,3
10,30,1,1
10,31,1,2
11,32,7,10
11,33,7,5
11,34,7,1
12,35,3,6
12,36,3,5
13,37,8,11
13,38,8,1
13,39,8,2
14,40,9,12
14,41,9,5
14,42,9,1
14,43,9,2
15,44,4,7
15,45,4,5
15,46,4,2
16,47,2,4
16,48,2,5
16,49,2,2
17,50,10,13
17,51,10,5
18,52,3,6
18,53,3,5
19,54,7,10
19,55,7,5
19,56,7,1
20,57,11,14
20,58,11,5
20,59,11,1
21,60,2,4
21,61,2,5
21,62,2,2
22,63,4,7
22,64,4,5
22,65,4,2
23,66,12,15
23,67,12,1
24,68,7,10
24,69,7,5
24,70,7,1
25,71,3,6
25,72,3,5
26,73,2,4
26,74,2,5
26,75,2,2
27,76,2,4
27,77,2,5
27,78,2,2
28,79,2,4
28,80,2,5
28,81,2,2
29,82,13,16
29,83,13,1
29,84,13,2
30,85,10,13
30,86,10,5
31,87,11,14
31,88,11,5
31,89,11,1
32,90,14,17
32,91,14,5
32,92,14,1
33,93,3,6
33,94,3,5
34,95,9,12
34,96,9,5
34,97,9,1
34,98,9,2
35,99,7,10
35,100,7,5
35,101,7,1
36,102,11,14
36,103,11,5
36,104,11,1
37,105,15,18
37,106,15,5
38,107,7,10
38,108,7,5
38,109,7,1
39,110,1,3
39,111,1,1
39,112,1,2
40,113,7,10
40,114,7,5
40,115,7,1
41,116,2,4
41,117,2,5
41,118,2,2
42,119,0,0
42,120,0,1
42,121,0,2
43,122,2,4
43,123,2,5
43,124,2,2
44,125,7,10
44,126,7,5
44,127,7,1
45,128,2,4
45,129,2,5
45,130,2,2
46,131,7,10
46,132,7,5
46,133,7,1
47,134,0,0
47,135,0,1
47,136,0,2
48,137,2,4
48,138,2,5
48,139,2,2
49,140,16,19
49,141,16,5
50,142,7,10
50,143,7,5
50,144,7,1
51,145,0,0
51,146,0,1
51,147,0,2
52,148,9,12
52,149,9,5
52,150,9,1
52,151,9,2
53,152,7,10
53,153,7,5
53,154,7,1
54,155,7,10
54,156,7,5
54,157,7,1
55,158,7,10
55,159,7,5
55,160,7,1
56,161,7,10
56,162,7,5
56,163,7,1
57,164,3,6
57,165,3,5
58,166,7,10
58,167,7,5
58,168,7,1
59,169,13,16
59,170,13,1
59,171,13,2
60,172,7,10
60,173,7,5
60,174,7,1
61,175,0,0
61,176,0,1
61,177,0,2
62,178,4,7
62,179,4,5
62,180,4,2
63,181,16,19
63,182,16,5
64,183,7,10
64,184,7,5
64,185,7,1
65,186,2,4
65,187,2,5
65,188,2,2
66,189,14,17
66,190,14,5
66,191,14,1
67,192,17,20
67,193,17,5
67,194,17,1
68,195,18,21
68,196,18,5
69,197,19,22
69,198,19,5
70,199,0,0
70,200,0,1
70,201,0,2
71,202,0,0
71,203,0,1
71,204,0,2
72,205,3,6
72,206,3,5
73,207,11,14
73,208,11,5
73,209,11,1
74,210,11,14
74,211,11,5
74,212,11,1
75,213,2,4
75,214,2,5
75,215,2,2
76,216,7,10
76,217,7,5
76,218,7,1
77,219,7,10
77,220,7,5
77,221,7,1
78,222,2,4
78,223,2,5
78,224,2,2
79,225,11,14
79,226,11,5
79,227,11,1
80,228,7,10
80,229,7,5
80,230,7,1
81,231,10,13
81,232,10,5
82,233,20,23
82,234,20,1
83,235,1,3
83,236,1,1
83,237,1,2
84,238,4,7
84,239,4,5
84,240,4,2
85,241,21,24
85,242,21,1
86,243,22,25
86,244,22,1
87,245,9,12
87,246,9,5
87,247,9,1
87,248,9,2
88,249,7,10
88,250,7,5
88,251,7,1
89,252,3,6
89,253,3,5
90,254,6,9
90,255,6,5
90,256,6,1
91,257,2,4
91,258,2,5
91,259,2,2
92,260,0,0
92,261,0,1
92,262,0,2
93,263,4,7
93,264,4,5
93,265,4,2
94,266,0,0
94,267,0,1
94,268,0,2
95,269,2,4
95,270,2,5
95,271,2,2
96,272,9,12
96,273,9,5
96,274,9,1
96,275,9,2
97,276,3,6
97,277,3,5
98,278,3,6
98,279,3,5
99,280,0,0
99,281,0,1
99,282,0,2
100,283,11,14
100,284,11,5
100,285,11,1
101,286,23,26
101,287,23,1
101,288,23,2
102,289,10,13
102,290,10,5
103,291,19,22
103,292,19,5
104,293,3,6
104,294,3,5
105,295,1,3
105,296,1,1
105,297,1,2
106,298,19,22
106,299,19,5
107,300,4,7
107,301,4,5
107,302,4,2
108,303,10,13
108,304,10,5
109,305,20,23
109,306,20,1
110,307,24,27
110,308,24,5
111,309,24,27
111,310,24,5
112,311,25,28
112,312,25,5
112,313,25,1
113,314,26,29
113,315,26,1
114,316,27,30
114,317,27,1
115,318,3,6
115,319,3,5
116,320,3,6
116,321,3,5
117,322,28,31
117,323,28,1
118,324,7,10
118,325,7,5
118,326,7,1
119,327,24,27
119,328,24,5
120,329,3,6
120,330,3,5
121,331,7,10
121,332,7,5
121,333,7,1
122,334,7,10
122,335,7,5
122,336,7,1
123,337,19,22
123,338,19,5
124,339,19,22
124,340,19,5
125,341,6,9
125,342,6,5
125,343,6,1
126,344,3,6
126,345,3,5
127,346,3,6
127,347,3,5
128,348,19,22
128,349,19,5
129,350,7,10
129,351,7,5
129,352,7,1
130,353,7,10
130,354,7,5
130,355,7,1
131,356,7,10
131,357,7,5
131,358,7,1
132,359,19,22
132,360,19,5
133,361,29,32
133,362,29,5
134,363,7,10
134,364,7,5
134,365,7,1
135,366,25,28
135,367,25,5
135,368,25,1
136,369,3,6
136,370,3,5
137,371,7,10
137,372,7,5
137,373,7,1
138,374,21,24
138,375,21,1
139,376,3,6
139,377,3,5
140,378,30,33
140,379,30,5
141,380,19,22
141,381,19,5
142,382,7,10
142,383,7,5
142,384,7,1
143,385,7,10
143,386,7,5
143,387,7,1
144,388,10,13
144,389,10,5
145,390,7,10
145,391,7,5
145,392,7,1
146,393,25,28
146,394,25,5
146,395,25,1
147,396,14,17
147,397,14,5
147,398,14,1
148,399,31,34
148,400,31,1
149,401,19,22
149,402,19,5
150,403,32,35
150,404,32,5
151,405,12,15
151,406,12,1
152,407,29,32
152,408,29,5
153,409,33,36
153,410,33,5
153,411,33,37
154,412,21,24
154,413,21,1
155,414,21,24
155,415,21,1
156,416,25,28
156,417,25,5
156,418,25,1
157,419,19,22
157,420,19,5
158,421,4,7
158,422,4,5
158,423,4,2
159,424,6,9
159,425,6,5
159,426,6,1
160,427,12,15
160,428,12,1
161,429,2,4
161,430,2,5
161,431,2,2
162,432,25,28
162,433,25,5
162,434,25,1
163,435,21,24
163,436,21,1
164,437,7,10
164,438,7,5
164,439,7,1
165,440,7,10
165,441,7,5
165,442,7,1
166,443,7,10
166,444,7,5
166,445,7,1
167,446,5,8
167,447,5,5
167,448,5,1
168,449,25,28
168,450,25,5
168,451,25,1
169,452,19,22
169,453,19,5
170,454,3,6
170,455,3,5
171,456,24,27
171,457,24,5
172,458,21,24
172,459,21,1
173,460,21,24
173,461,21,1
174,462,34,38
174,463,34,5
175,464,19,22
175,465,19,5
176,466,7,10
176,467,7,5
176,468,7,1
177,469,6,9
177,470,6,5
177,471,6,1
178,472,18,21
178,473,18,5
179,474,18,21
179,475,18,5
180,476,18,21
180,477,18,5
181,478,19,22
181,479,19,5
182,480,19,22
182,481,19,5
183,482,16,19
183,483,16,5
184,484,16,19
184,485,16,5
185,486,25,28
185,487,25,5
185,488,25,1
186,489,19,22
186,490,19,5
187,491,19,22
187,492,19,5
188,493,12,15
188,494,12,1
189,495,7,10
189,496,7,5
189,497,7,1
190,498,3,6
190,499,3,5
191,500,7,10
191,501,7,5
191,502,7,1
192,503,0,0
192,504,0,1
192,505,0,2
193,506,18,21
193,507,18,5
194,508,35,39
195,509,20,23
195,510,20,1
196,511,20,23
196,512,20,1
197,513,3,6
197,514,3,5
198,515,32,35
198,516,32,5
199,517,14,17
199,518,14,5
199,519,14,1
200,520,7,10
200,521,7,5
200,522,7,1
201,523,3,6
201,524,3,5
202,525,3,6
202,526,3,5
203,527,25,28
203,528,25,5
203,529,25,1
204,530,3,6
204,531,3,5
205,532,36,40
205,533,36,2
206,534,7,10
206,535,7,5
206,536,7,1
207,537,7,10
207,538,7,5
207,539,7,1
208,540,7,10
208,541,7,5
208,542,7,1
209,543,3,6
209,544,3,5
210,545,8,11
210,546,8,1
210,547,8,2
211,548,8,11
211,549,8,1
211,550,8,2
212,551,37,41
212,552,37,5
213,553,38,42
213,554,38,5
214,555,39,43
214,556,39,1
215,557,40,44
215,558,40,5
216,559,7,10
216,560,7,5
216,561,7,1
217,562,7,10
217,563,7,5
217,564,7,1
218,565,35,39
219,566,41,45
219,567,41,5
220,568,26,29
220,569,26,1
221,570,27,30
221,571,27,1
222,572,7,10
222,573,7,5
222,574,7,1
223,575,7,10
223,576,7,5
223,577,7,1
224,578,4,7
224,579,4,5
224,580,4,2
225,581,16,19
225,582,16,5
226,583,2,4
226,584,2,5
226,585,2,2
227,586,1,3
227,587,1,1
227,588,1,2
228,589,7,10
228,590,7,5
228,591,7,1
229,592,7,10
229,593,7,5
229,594,7,1
230,595,1,3
230,596,1,1
230,597,1,2
231,598,20,23
231,599,20,1
232,600,3,6
232,601,3,5
233,602,3,6
233,603,3,5
234,604,12,15
234,605,12,1
235,606,12,15
235,607,12,1
236,608,17,20
236,609,17,5
236,610,17,1
237,611,2,4
237,612,2,5
237,613,2,2
238,614,2,4
238,615,2,5
238,616,2,2
239,617,2,4
239,618,2,5
239,619,2,2
240,620,7,10
240,621,7,5
240,622,7,1
241,623,20,23
241,624,20,1
242,625,16,19
242,626,16,5
243,627,18,21
243,628,18,5
244,629,25,28
244,630,25,5
244,631,25,1
245,632,4,7
245,633,4,5
245,634,4,2
246,635,2,4
246,636,2,5
246,637,2,2
247,638,4,7
247,639,4,5
247,640,4,2
248,641,3,6
248,642,3,5
249,643,7,10
249,644,7,5
249,645,7,1
250,646,4,7
250,647,4,5
250,648,4,2
251,649,16,19
251,650,16,5
252,651,30,33
252,652,30,5
253,653,42,46
253,654,42,5
254,655,43,47
254,656,43,5
255,657,4,7
255,658,4,5
255,659,4,2
256,660,44,48
256,661,44,5
257,662,3,6
257,663,3,5
258,664,3,6
258,665,3,5
259,666,13,16
259,667,13,1
259,668,13,2
260,669,18,21
260,670,18,5
261,671,45,49
261,672,45,5
262,673,25,28
262,674,25,5
262,675,25,1
263,676,42,46
263,677,42,5
264,678,8,11
264,679,8,1
264,680,8,2
265,681,18,21
265,682,18,5
266,683,46,50
266,684,46,1
267,685,46,50
267,686,46,1
268,687,20,23
268,688,20,1
269,689,47,51
269,690,47,52
269,691,47,1
270,692,18,21
270,693,18,5
271,694,18,21
271,695,18,5
272,696,2,4
272,697,2,5
272,698,2,2
273,699,48,53
273,700,48,1
273,701,48,2
274,702,49,54
274,703,49,1
275,704,7,10
275,705,7,5
275,706,7,1
276,707,11,14
276,708,11,5
276,709,11,1
277,710,16,19
277,711,16,5
278,712,4,7
278,713,4,5
278,714,4,2
279,715,18,21
279,716,18,5
280,717,18,21
280,718,18,5
281,719,1,3
281,720,1,1
281,721,1,2
282,722,50,55
282,723,50,5
283,724,18,21
283,725,18,5
284,726,51,56
284,727,51,5
285,728,42,46
285,729,42,5
286,730,52,57
286,731,52,5
287,732,19,22
287,733,19,5
288,734,24,27
288,735,24,5
289,736,53,58
289,737,53,5
290,738,53,58
290,739,53,5
291,740,2,4
291,741,2,5
291,742,2,2
292,743,46,50
292,744,46,1
293,745,46,50
293,746,46,1
294,747,54,59
294,748,54,5
295,749,3,6
295,750,3,5
296,751,7,10
296,752,7,5
296,753,7,1
297,754,7,10
297,755,7,5
297,756,7,1
298,757,55,60
298,758,55,5
299,759,18,21
299,760,18,5
300,761,56,61
300,762,56,52
301,763,2,4
301,764,2,5
301,765,2,2
302,766,11,14
302,767,11,5
302,768,11,1
303,769,2,4
303,770,2,5
303,771,2,2
304,772,42,46
304,773,42,5
305,774,7,10
305,775,7,5
305,776,7,1
306,777,54,59
306,778,54,5
307,779,38,42
307,780,38,5
308,781,21,24
308,782,21,1
309,783,57,62
309,784,57,5
310,785,9,12
310,786,9,5
310,787,9,1
310,788,9,2
