EQ,group
0,0
1,1
2,0
3,2
4,3
5,4
6,2
7,5
8,6
9,1
10,1
11,7
12,3
13,8
14,9
15,4
16,2
17,10
18,3
19,7
20,11
21,2
22,4
23,12
24,7
25,3
26,2
27,2
28,2
29,13
30,10
31,11
32,14
33,3
34,9
35,7
36,11
37,15
38,7
39,1
40,7
41,2
42,0
43,2
44,7
45,2
46,7
47,0
48,2
49,16
50,7
51,0
52,9
53,7
54,7
55,7
56,7
57,3
58,7
59,13
60,7
61,0
62,4
63,16
64,7
65,2
66,14
67,17
68,18
69,19
70,0
71,0
72,3
73,11
74,11
75,2
76,7
77,7
78,2
79,11
80,7
81,10
82,20
83,1
84,4
85,21
86,22
87,9
88,7
89,3
90,6
91,2
92,0
93,4
94,0
95,2
96,9
97,3
98,3
99,0
100,11
101,23
102,10
103,19
104,3
105,1
106,19
107,4
108,10
109,20
110,24
111,24
112,25
113,26
114,27
115,3
116,3
117,28
118,7
119,24
120,3
121,7
122,7
123,19
124,19
125,6
126,3
127,3
128,19
129,7
130,7
131,7
132,19
133,29
134,7
135,25
136,3
137,7
138,21
139,3
140,30
141,19
142,7
143,7
144,10
145,7
146,25
147,14
148,31
149,19
150,32
151,12
152,29
153,33
154,21
155,21
156,25
157,19
158,4
159,6
160,12
161,2
162,25
163,21
164,7
165,7
166,7
167,5
168,25
169,19
170,3
171,24
172,21
173,21
174,34
175,19
176,7
177,6
178,18
179,18
180,18
181,19
182,19
183,16
184,16
185,25
186,19
187,19
188,12
189,7
190,3
191,7
192,0
193,18
194,35
195,20
196,20
197,3
198,32
199,14
200,7
201,3
202,3
203,25
204,3
205,36
206,7
207,7
208,7
209,3
210,8
211,8
212,37
213,38
214,39
215,40
216,7
217,7
218,35
219,41
220,26
221,27
222,7
223,7
224,4
225,16
226,2
227,1
228,7
229,7
230,1
231,20
232,3
233,3
234,12
235,12
236,17
237,2
238,2
239,2
240,7
241,20
242,16
243,18
244,25
245,4
246,2
247,4
248,3
249,7
250,4
251,16
252,30
253,42
254,43
255,4
256,44
257,3
258,3
259,13
260,18
261,45
262,25
263,42
264,8
265,18
266,46
267,46
268,20
269,47
270,18
271,18
272,2
273,48
274,49
275,7
276,11
277,16
278,4
279,18
280,18
281,1
282,50
283,18
284,51
285,42
286,52
287,19
288,24
289,53
290,53
291,2
292,46
293,46
294,54
295,3
296,7
297,7
298,55
299,18
300,56
301,2
302,11
303,2
304,42
305,7
306,54
307,38
308,21
309,57
310,9
311,3
312,58
313,38
314,0
315,31
316,20
317,14
318,14
319,3
320,32
321,32
322,18
323,16
324,2
325,20
326,19
327,16
328,11
329,7
330,32
331,32
332,32
333,59
334,21
335,18
336,20
337,0
338,7
339,0
340,16
341,13
342,20
343,1
344,60
345,13
346,2
347,2
348,3
349,3
350,19
351,61
352,2
353,2
354,25
355,25
356,62
357,62
358,63
359,51
360,64
361,12
362,2
363,6
364,12
365,65
366,7
367,13
368,13
369,54
370,20
371,20
372,12
373,66
374,18
375,13
376,13
377,45
378,31
379,4
380,4
381,18
382,18
383,10
384,0
385,67
386,58
387,3
388,2
389,2
390,28
391,3
392,28
393,68
394,69
395,70
396,2
397,1
398,2
399,37
400,0
401,0
402,11
403,11
404,11
405,20
406,45
407,19
408,38
409,71
410,72
411,13
412,13
413,13
414,8
415,42
416,1
417,0
418,15
419,20
420,12
421,12
422,73
423,74
424,75
425,2
426,76
427,20
428,20
429,55
430,7
431,20
432,20
433,3
434,44
435,9
436,7
437,18
438,1
439,77
440,78
441,79
442,79
443,2
444,55
445,79
446,79
447,79
448,40
449,3
450,1
451,54
452,80
453,80
454,38
455,34
456,14
457,25
458,25
459,17
460,58
461,58
462,2
463,20
464,13
465,67
466,3
467,81
468,81
469,4
470,20
471,82
472,35
473,7
474,7
475,20
476,2
477,35
478,2
479,80
480,80
481,7
482,16
483,19
484,19
485,72
486,72
487,4
488,7
489,7
490,81
491,83
492,84
493,54
494,12
495,85
496,85
497,86
498,87
499,87
500,87
501,20
502,20
503,54
504,76
505,66
506,71
507,3
508,45
509,20
510,72
511,7
512,3
513,44
514,36
515,45
516,45
517,0
518,3
519,88
520,11
521,45
522,38
523,3
524,3
525,3
526,3
527,35
528,1
529,8
530,2
531,89
532,90
533,19
534,71
535,46
536,46
537,56
538,3
539,37
540,3
541,75
542,91
543,7
544,54
545,54
546,45
547,92
548,46
549,46
550,54
551,54
552,3
553,63
554,93
555,35
556,42
557,7
558,20
559,18
560,18
561,2
562,2
563,3
564,19
565,42
566,44
567,35
568,3
569,0
570,1
571,1
572,25
573,25
574,7
575,66
576,28
577,45
578,45
579,7
580,57
581,3
582,0
583,94
584,12
585,16
586,12
587,95
588,96
589,96
590,11
591,11
592,11
593,3
594,4
595,3
596,2
597,4
598,81
599,97
600,75
601,58
602,58
603,38
604,50
605,45
606,19
607,38
608,98
609,72
610,3
611,3
612,0
613,58
614,54
615,99
616,99
617,7
618,7
619,20
620,63
621,3
622,3
623,3
624,36
625,2
626,2
627,19
628,19
629,25
630,48
631,51
632,3
633,100
634,101
635,18
636,17
637,21
638,102
639,103
640,104
641,0
642,105
643,106
644,2
645,45
646,73
647,45
648,3
649,25
650,45
651,7
652,7
653,7
654,6
655,8
656,1
657,3
658,7
659,11
660,3
661,9
662,9
663,37
664,96
665,0
666,17
667,3
668,13
669,3
670,2
671,75
672,29
673,19
674,10
675,0
676,2
677,21
678,24
679,24
680,20
681,3
682,107
683,108
684,68
685,4
686,2
687,2
688,7
689,109
690,109
691,3
692,11
693,2
694,38
695,7
696,110
697,111
698,20
699,12
700,2
701,112
702,113
703,114
704,51
705,42
706,43
707,18
708,19
709,3
710,4
711,4
712,3
713,29
714,79
715,6
716,115
717,116
718,11
719,109
720,32
721,117
722,20
723,3
724,118
725,119
726,18
727,18
728,13
729,120
730,57
731,62
732,46
733,46
734,2
735,75
736,25
737,7
738,21
739,18
740,121
741,103
742,62
743,62
744,62
745,2
746,7
747,11
748,2
749,11
750,2
751,2
752,2
753,113
754,83
755,83
756,98
757,46
758,46
759,122
760,123
761,3
762,18
763,75
764,3
765,37
766,52
767,18
768,90
769,90
770,17
771,32
772,3
773,2
774,2
775,83
776,81
777,97
778,2
779,36
780,7
781,7
782,2
783,124
784,0
785,75
786,19
787,3
788,125
789,125
790,126
791,58
792,7
793,58
794,54
795,18
796,13
797,0
798,127
799,128
800,129
801,130
802,75
803,3
804,1
805,11
806,1
807,9
808,2
809,4
810,6
811,17
812,17
813,131
814,2
815,4
816,4
817,132
818,7
819,133
820,96
821,134
822,134
823,4
824,135
825,136
826,136
827,11
828,3
829,137
830,59
831,13
832,13
833,13
834,3
835,11
836,92
837,24
838,134
839,19
840,16
841,73
842,73
843,24
844,138
845,3
846,7
847,139
848,46
849,19
850,91
851,46
852,140
853,7
854,21
855,91
856,46
857,141
858,142
859,143
860,7
861,46
862,3
863,68
864,19
865,144
866,51
867,145
868,145
869,146
870,147
871,148
872,29
873,38
874,7
875,21
876,3
877,3
878,7
879,147
880,46
881,46
882,37
883,37
884,149
885,150
886,7
887,3
888,151
889,8
890,21
891,3
892,29
893,151
894,2
895,86
896,40
897,152
898,153
899,46
900,7
901,7
902,92
903,96
904,154
905,0
906,88
907,7
908,18
909,18
910,155
911,16
912,45
913,3
914,3
915,109
916,21
917,75
918,156
919,156
920,157
921,158
922,159
923,37
924,37
925,160
926,148
927,161
928,55
929,99
930,7
931,46
932,21
933,57
934,91
935,157
936,157
937,147
938,25
939,155
940,46
941,147
942,3
943,24
944,42
945,43
946,7
947,55
948,46
949,46
950,12
951,19
952,32
953,7
954,46
955,46
956,3
957,7
958,1
959,25
960,25
961,157
962,19
963,19
964,162
965,109
966,28
967,163
968,45
969,3
970,62
971,148
972,161
973,42
974,43
975,164
976,46
977,11
978,165
979,46
980,100
981,100
982,23
983,1
984,166
985,12
986,7
987,7
988,3
989,134
990,151
991,13
992,167
993,3
994,46
995,99
996,3
997,46
998,46
999,3
1000,46
1001,7
1002,168
1003,141
1004,46
1005,3
1006,72
1007,72
1008,37
1009,12
1010,2
1011,143
1012,143
1013,80
1014,169
1015,2
1016,46
1017,123
1018,170
1019,170
1020,2
1021,171
1022,171
1023,151
1024,172
1025,173
1026,51
1027,51
1028,64
1029,46
1030,20
1031,161
1032,25
1033,7
1034,31
1035,20
1036,20
1037,163
1038,25
1039,25
1040,75
1041,2
1042,32
1043,146
1044,147
1045,174
1046,175
1047,20
1048,46
1049,151
1050,176
1051,71
1052,81
1053,81
1054,83
1055,151
1056,19
1057,2
1058,52
1059,52
1060,21
