separated_group,separated_EQ,MIN_E
0,4778,-834.089079432356
1,5180,-306.422012732339
2,248,-323.464640882549
3,2397,-834.089084175309
4,1934,-908.305097754314
5,1515,-232.213332233912
6,3369,-1231.8249014277
7,63,-908.305097681845
8,20,-925.391333857074
9,6018,-925.375784958571
10,4150,-925.391332696572
11,1044,-834.089078273188
12,4484,-601.845681709288
13,6178,-1231.817832497314
14,1843,-925.351812905506
15,921,-1157.612723349357
16,4578,-834.089082243522
17,806,-925.402260740378
18,105,-1231.803414713741
19,649,-1231.833030949671
20,4591,-925.375770488974
21,3879,-1231.825113534314
22,732,-1231.833055299948
23,801,-1157.604183457079
24,374,-1157.603297119271
25,243,-1157.604232801255
26,4507,-834.089082320254
27,3601,-1231.799957086751
28,1597,-925.402260801291
29,568,-1157.612715585755
30,5403,-1157.619399230014
31,989,-1157.612720762074
32,1660,-1231.833032995124
33,378,-1231.803029566518
34,399,-1157.602533065409
35,4343,-1231.819652482128
36,409,-1043.26463026746
37,2713,-188.540119186466
38,462,-1231.832599982942
39,,
40,532,-1140.514046409097
41,2737,-1231.820541195272
42,1302,-1231.833055585211
43,555,-1157.604240065598
44,557,-1231.816100370579
45,3153,-1231.815281792648
46,2896,-1231.808153225369
47,1741,-1231.796395447221
48,660,-1231.839630418683
49,4944,-1231.794695440508
50,3960,-1157.620291174552
51,689,-834.077757765639
52,762,-323.464641168248
53,699,-834.04814707053
54,702,-1157.548893410401
55,722,-1231.822688277844
56,1737,-1231.802599297519
57,730,-1231.79804356986
58,3402,-1231.791768971013
59,2942,-1231.823118974365
60,4962,-1231.830952932066
61,6229,-1140.53445710436
62,2290,-1231.838914019561
63,1483,-908.305097602889
64,4090,-719.766311688935
65,869,-1140.527767788026
66,886,-1231.814258322475
67,2771,-1043.261762100958
68,3278,-925.350665512
69,6080,-1231.799805251285
70,923,-1231.820691114097
71,1265,-1157.575295782837
72,971,-834.086403938577
73,3437,-1231.833032430183
74,5538,-232.213332389056
75,993,-1157.581444207917
76,995,-1157.561506208104
77,1267,-1157.575296110133
78,1502,-1157.604234133379
79,2086,-925.351801201528
80,1066,-1140.520084148395
81,4235,-1140.521106266657
82,4530,-908.304210588877
83,1105,-1157.538767741044
84,1107,-1157.58284078221
